Surah Name,Verse Translation,Number Chapter and Verse,Extracted Keywords
Surah Muhammad,"And among them are some who listen to you (O Muhammad ) till, when they go out from you, they say to those who have received knowledge: “What has he said just now? Such are men whose hearts Allah has sealed, and they follow their lusts (evil desires).",47:16,"['men whose hearts allah', 'evil desires ).', 'received knowledge', '“', 'till', 'sealed', 'say', 'said', 'muhammad', 'lusts', 'listen', 'go', 'follow', 'among']"
Surah Muhammad,"While as for those who accept guidance, He increases their guidance, and bestows on them their piety.",47:17,"['accept guidance', 'guidance', 'piety', 'increases', 'bestows']"
Surah Muhammad,"Do they then await (anything) other than the Hour, that it should come upon them suddenly? But some of its portents (indications and signs) have already come, and when it (actually) is on them, how can they benefit then by their reminder?",47:18,"['come upon', 'already come', 'suddenly', 'signs', 'reminder', 'portents', 'indications', 'hour', 'benefit', 'await', 'anything', 'actually']"
Surah Muhammad,"So know (O Muhammad ) that La ilaha ill-Allah (none has the right to be worshipped but Allah), and ask forgiveness for your sin, and also for (the sin of) believing men and believing women. And Allah knows well your moving about, and your place of rest (in your homes).",47:19,"['la ilaha ill', 'allah knows well', 'homes ).', 'believing women', 'believing men', 'ask forgiveness', 'allah ),', 'allah', 'worshipped', 'sin', 'sin', 'right', 'rest', 'place', 'none', 'muhammad', 'moving', 'know', 'also']"
Surah Muhammad,"Those who believe say: “Why is not a Surah (chapter of the Qur’an) sent down (for us)? But when a decisive Surah (explaining and ordering things) is sent down, and fighting (Jihad – holy fighting in Allah’s Cause) is mentioned (i.e. ordained) therein, you will see those in whose hearts is a disease (of hypocrisy) looking at you with a look of one fainting to death. But it was better for them (hypocrites, to listen to Allah and to obey Him).",47:20,"['jihad – holy fighting', 'whose hearts', 'us )?', 'qur ’', 'ordering things', 'one fainting', 'believe say', 'decisive surah', 'allah ’', 'fighting', 'surah', 'allah', '“', 'therein', 'sent', 'sent', 'see', 'ordained', 'obey', 'mentioned', 'looking', 'look', 'listen', 'hypocrites', 'hypocrisy', 'explaining', 'e', 'disease', 'death', 'chapter', 'cause', 'better', ').']"
Surah Muhammad,"Obedience (to Allah) and good words (were better for them). And when the matter (preparation for Jihad) is resolved on, then if they had been true to Allah, it would have been better for them.",47:21,"['good words', 'would', 'true', 'resolved', 'preparation', 'obedience', 'matter', 'jihad', 'better', 'better', 'allah', 'allah', ').']"
Surah Muhammad,"Would you then, if you were given the authority, do mischief in the land, and sever your ties of kinship?",47:22,"['would', 'ties', 'sever', 'mischief', 'land', 'kinship', 'given', 'authority']"
Surah Muhammad,"Such are they whom Allah has cursed, so that He has made them deaf and blinded their sight.",47:23,"['sight', 'made', 'deaf', 'cursed', 'blinded', 'allah']"
Surah Muhammad,"Do they not then think deeply in the Qur’an, or are their hearts locked up (from understanding it)?",47:24,"['think deeply', 'qur ’', 'hearts locked', 'understanding', ')?']"
Surah Muhammad,"Verily, those who have turned back (have apostated) as disbelievers after the guidance has been manifested to them, Shaitan (Satan) has beautified for them (their false hopes), and (Allah) prolonged their term (age).",47:25,"['false hopes ),', 'turned back', 'age ).', 'verily', 'term', 'shaitan', 'satan', 'prolonged', 'manifested', 'guidance', 'disbelievers', 'beautified', 'apostated', 'allah']"
Surah Muhammad,"This is because they said to those who hate what Allah has sent down: “We will obey you in part of the matter,” but Allah knows their secrets.",47:26,"['matter ,”', 'allah knows', 'allah', '“', 'sent', 'secrets', 'said', 'part', 'obey', 'hate']"
Surah Muhammad,"Then how (will it be) when the angels will take their souls at death, smiting their faces and their backs?",47:27,"['take', 'souls', 'smiting', 'faces', 'death', 'backs', 'angels']"
Surah Muhammad,"That is because they followed that which angered Allah, and hated that which pleased Him. So He made their deeds fruitless.",47:28,"['deeds fruitless', 'angered allah', 'pleased', 'made', 'hated', 'followed']"
Surah Muhammad,"Or do those in whose hearts is a disease (of hypocrisy), think that Allah will not bring to light all their hidden ill-wills?",47:29,"['hypocrisy ), think', 'whose hearts', 'hidden ill', 'wills', 'light', 'disease', 'bring', 'allah']"
Surah Muhammad,"Had We willed, We could have shown them to you, and you should have known them by their marks, but surely, you will know them by the tone of their speech! And Allah knows all your deeds.",47:30,"['allah knows', 'willed', 'tone', 'surely', 'speech', 'shown', 'marks', 'known', 'know', 'deeds', 'could']"
Surah Muhammad,"And surely, We shall try you till We test those who strive hard (for the Cause of Allah) and the patient ones, and We shall test your facts (i.e. the one who is a liar, and the one who is truthful).",47:31,"['truthful ).', 'strive hard', 'shall try', 'patient ones', 'shall test', 'test', 'till', 'surely', 'one', 'one', 'liar', 'facts', 'e', 'cause', 'allah']"
Surah Muhammad,"Verily, those who disbelieve, and hinder (men) from the Path of Allah (i.e. Islam), and oppose the Messenger ( ) (by standing against him and hurting him), after the guidance has been clearly shown to them, they will not hurt Allah in the least, but He will make their deeds fruitless,",47:32,"['deeds fruitless', 'clearly shown', 'islam ),', 'hurt allah', 'allah', '),', 'verily', 'standing', 'path', 'oppose', 'messenger', 'men', 'make', 'least', 'hurting', 'hinder', 'guidance', 'e', 'disbelieve']"
Surah Muhammad,"O you who believe! Obey Allah, and obey the Messenger (Muhammad ) and render not vain your deeds.",47:33,"['obey allah', 'obey', 'vain', 'render', 'muhammad', 'messenger', 'deeds', 'believe']"
Surah Muhammad,"Verily, those who disbelieve, and hinder (men) from the Path of Allah (i.e. Islam); then die while they are disbelievers, Allah will not forgive them.",47:34,"['islam );', 'verily', 'path', 'men', 'hinder', 'forgive', 'e', 'disbelievers', 'disbelieve', 'die', 'allah', 'allah']"
Surah Muhammad,"So be not weak and ask not for peace (from the enemies of Islam), while you are having the upper hand. Allah is with you, and will never decrease the reward of your good deeds.",47:35,"['upper hand', 'never decrease', 'islam ),', 'good deeds', 'weak', 'reward', 'peace', 'enemies', 'ask', 'allah']"
Surah Muhammad,"The life of this world is but play and pastime, but if you believe (in the Oneness of Allah Islamic Monotheism), and fear Allah, and avoid evil, He will grant you your wages, and will not ask you your wealth.",47:36,"['allah islamic monotheism ),', 'fear allah', 'avoid evil', 'world', 'wealth', 'wages', 'play', 'pastime', 'oneness', 'life', 'grant', 'believe', 'ask']"
Surah Muhammad,"If He were to ask you of it, and press you, you would covetously withhold, and He will bring out all your (secret) ill-wills.",47:37,"['would covetously withhold', 'wills', 'secret', 'press', 'ill', 'bring', 'ask']"
Surah Muhammad,"Behold! You are those who are called to spend in the Cause of Allah, yet among you are some who are niggardly. And whoever is niggardly, it is only at the expense of his ownself. But Allah is Rich (Free of all wants), and you (mankind) are poor. And if you turn away (from Islam and the obedience of Allah), He will exchange you for some other people, and they will not be your likes.",47:38,"['yet among', 'wants ),', 'turn away', 'allah ),', 'allah', 'allah', 'whoever', 'spend', 'rich', 'poor', 'people', 'ownself', 'obedience', 'niggardly', 'niggardly', 'mankind', 'likes', 'islam', 'free', 'expense', 'exchange', 'cause', 'called', 'behold']"
Surah Al-Fath,"Verily, We have given you (O Muhammad ) a manifest victory.",48:1,"['manifest victory', 'verily', 'muhammad', 'given']"
Surah Al-Fath,"That Allah may forgive you your sins of the past and the future, and complete His Favour on you, and guide you on the Straight Path;",48:2,"['allah may forgive', 'straight path', 'sins', 'past', 'guide', 'future', 'favour', 'complete']"
Surah Al-Fath,And that Allah may help you with strong help.,48:3,"['allah may help', 'strong help']"
Surah Al-Fath,"He it is Who sent down As-Sakinah (calmness and tranquillity) into the hearts of the believers, that they may grow more in Faith along with their (present) Faith. And to Allah belong the hosts of the heavens and the earth, and Allah is Ever All-Knower, All-Wise.",48:4,"['may grow', 'faith along', 'allah belong', 'faith', 'allah', 'wise', 'tranquillity', 'sent', 'sakinah', 'present', 'knower', 'hosts', 'heavens', 'hearts', 'ever', 'earth', 'calmness', 'believers']"
Surah Al-Fath,"That He may admit the believing men and the believing women to Gardens under which rivers flow (i.e. Paradise), to abide therein forever, and to expiate from them their sins, and that is with Allah, a supreme success,",48:5,"['abide therein forever', 'supreme success', 'rivers flow', 'paradise ),', 'may admit', 'believing women', 'believing men', 'sins', 'gardens', 'expiate', 'e', 'allah']"
Surah Al-Fath,"And that He may punish the Munafiqun (hypocrites), men and women, and also the Mushrikun men and women, who think evil thoughts about Allah, for them is a disgraceful torment, and the Anger of Allah is upon them, and He has cursed them and prepared Hell for them, and worst indeed is that destination.",48:6,"['think evil thoughts', 'hypocrites ), men', 'mushrikun men', 'worst indeed', 'prepared hell', 'may punish', 'disgraceful torment', 'women', 'women', 'upon', 'munafiqun', 'destination', 'cursed', 'anger', 'also', 'allah', 'allah']"
Surah Al-Fath,"And to Allah belong the hosts of the heavens and the earth. And Allah is Ever All-Knower, All-Wise.",48:7,"['allah belong', 'allah', 'wise', 'knower', 'hosts', 'heavens', 'ever', 'earth']"
Surah Al-Fath,"Verily, We have sent you (O Muhammad ) as a witness, as a bearer of glad tidings, and as a warner.",48:8,"['glad tidings', 'witness', 'warner', 'verily', 'sent', 'muhammad', 'bearer']"
Surah Al-Fath,"In order that you (O mankind) may believe in Allah and His Messenger (), and that you assist and honour him (), and (that you) glorify (Allah’s) praises morning and afternoon.",48:9,"['praises morning', 'may believe', 'messenger (),', 'allah ’', 'allah', '(),', 'order', 'mankind', 'honour', 'glorify', 'assist', 'afternoon']"
Surah Al-Fath,"Verily, those who give Bai’a (pledge) to you (O Muhammad ) they are giving Bai’a (pledge) to Allah. The Hand of Allah is over their hands. Then whosoever breaks his pledge, breaks only to his own harm, and whosoever fulfills what he has covenanted with Allah, He will bestow on him a great reward.",48:10,"['giving bai ’', 'give bai ’', 'whosoever fulfills', 'great reward', 'whosoever breaks', 'breaks', 'verily', 'pledge', 'pledge', 'pledge', 'muhammad', 'harm', 'hands', 'hand', 'covenanted', 'bestow', 'allah', 'allah', 'allah']"
Surah Al-Fath,"Those of the bedouins who lagged behind will say to you: “Our possessions and our families occupied us, so ask forgiveness for us.” They say with their tongues what is not in their hearts. Say: “Who then has any power at all (to intervene) on your behalf with Allah, if He intends you hurt or intends you benefit? Nay, but Allah is Ever All-Aware of what you do.",48:11,"['families occupied us', 'us .”', 'lagged behind', 'ask forgiveness', '“', '“', 'tongues', 'say', 'say', 'say', 'power', 'possessions', 'nay', 'intervene', 'intends', 'intends', 'hurt', 'hearts', 'ever', 'benefit', 'behalf', 'bedouins', 'aware', 'allah', 'allah']"
Surah Al-Fath,"“Nay, but you thought that the Messenger () and the believers would never return to their families; and that was made fair-seeming in their hearts, and you did think an evil thought and you became a useless people going for destruction.”",48:12,"['believers would never return', 'useless people going', '“ nay', 'messenger ()', 'made fair', 'destruction .”', 'evil thought', 'thought', 'think', 'seeming', 'hearts', 'families', 'became']"
Surah Al-Fath,"And whosoever does not believe in Allah and His Messenger (Muhammad ), then verily, We have prepared for the disbelievers a blazing Fire .",48:13,"['muhammad ),', 'blazing fire', 'whosoever', 'verily', 'prepared', 'messenger', 'disbelievers', 'believe', 'allah']"
Surah Al-Fath,"And to Allah belongs the sovereignty of the heavens and the earth, He forgives whom He wills, and punishes whom He wills. And Allah is Ever Oft-Forgiving, Most Merciful.",48:14,"['ever oft', 'allah belongs', 'allah', 'wills', 'wills', 'sovereignty', 'punishes', 'merciful', 'heavens', 'forgiving', 'forgives', 'earth']"
Surah Al-Fath,"Those who lagged behind will say, when you set forth to take the spoils, “Allow us to follow you,” They want to change Allah’s Words. Say: “You shall not follow us; thus Allah has said beforehand.” Then they will say: “Nay, you envy us.” Nay, but they understand not except a little.",48:15,"['envy us .” nay', 'said beforehand .”', 'change allah ’', '“ allow us', '“ nay', 'thus allah', 'follow us', 'set forth', 'lagged behind', '“', 'follow', 'words', 'want', 'understand', 'take', 'spoils', 'shall', 'say', 'say', 'say', 'little', 'except', ',”']"
Surah Al-Fath,"Say (O Muhammad ) to the bedouins who lagged behind: “You shall be called to fight against a people given to great warfare, then you shall fight them, or they shall surrender. Then if you obey, Allah will give you a fair reward, but if you turn away as you did turn away before, He will punish you with a painful torment.”",48:16,"['painful torment .”', 'turn away', 'turn away', 'people given', 'lagged behind', 'great warfare', 'fair reward', 'shall surrender', 'shall fight', 'shall', 'fight', '“', 'say', 'punish', 'obey', 'muhammad', 'give', 'called', 'bedouins', 'allah']"
Surah Al-Fath,"No blame or sin is there upon the blind, nor is there blame or sin upon the lame, nor is there blame or sin upon the sick (that they go not forth to war). And whosoever obeys Allah and His Messenger (Muhammad ), He will admit him to Gardens beneath which rivers flow (Paradise); and whosoever turns back, He will punish him with a painful torment.",48:17,"['whosoever turns back', 'whosoever obeys allah', 'war ).', 'rivers flow', 'paradise );', 'painful torment', 'muhammad ),', 'gardens beneath', 'sin upon', 'sin upon', 'upon', 'sin', 'sick', 'punish', 'messenger', 'lame', 'go', 'forth', 'blind', 'blame', 'blame', 'blame', 'admit']"
Surah Al-Fath,"Indeed, Allah was pleased with the believers when they gave their Bai’a (pledge) to you (O Muhammad ) under the tree, He knew what was in their hearts, and He sent down As-Sakinah (calmness and tranquillity) upon them, and He rewarded them with a near victory,",48:18,"['near victory', 'bai ’', 'upon', 'tree', 'tranquillity', 'sent', 'sakinah', 'rewarded', 'pledge', 'pleased', 'muhammad', 'knew', 'indeed', 'hearts', 'gave', 'calmness', 'believers', 'allah']"
Surah Al-Fath,"And abundant spoils that they will capture. And Allah is Ever All-Mighty, All-Wise.",48:19,"['abundant spoils', 'wise', 'mighty', 'ever', 'capture', 'allah']"
Surah Al-Fath,"Allah has promised you abundant spoils that you will capture, and He has hastened for you this, and He has restrained the hands of men from you, that it may be a sign for the believers, and that He may guide you to a Straight Path.",48:20,"['straight path', 'abundant spoils', 'may guide', 'may', 'sign', 'restrained', 'promised', 'men', 'hastened', 'hands', 'capture', 'believers', 'allah']"
Surah Al-Fath,"And other (victories and much booty there are, He promises you) which are not yet within your power, indeed Allah compasses them, And Allah is Ever Able to do all things.",48:21,"['indeed allah compasses', 'yet within', 'much booty', 'ever able', 'allah', 'victories', 'things', 'promises', 'power']"
Surah Al-Fath,"And if those who disbelieve fight against you, they certainly would have turned their backs, then they would have found neither a Wali (protector) nor a helper.",48:22,"['found neither', 'disbelieve fight', 'certainly would', 'would', 'wali', 'turned', 'protector', 'helper', 'backs']"
Surah Al-Fath,That has been the Way of Allah already with those who passed away before. And you will not find any change in the Way of Allah.,48:23,"['passed away', 'allah already', 'allah', 'way', 'way', 'find', 'change']"
Surah Al-Fath,"And He it is Who has withheld their hands from you and your hands from them in the midst of Makkah, after He had made you victors over them. And Allah is Ever the All-Seer of what you do.",48:24,"['withheld', 'victors', 'seer', 'midst', 'makkah', 'made', 'hands', 'hands', 'ever', 'allah']"
Surah Al-Fath,"They are the ones who disbelieved (in the Oneness of Allah Islamic Monotheism), and hindered you from Al-Masjid-al-Haram (the sacred mosque of Makkah) and the sacrificial animals, detained from reaching their place of sacrifice. Had there not been believing men and believing women whom you did not know, that you may kill them, and on whose account a sin would have been committed by you without (your) knowledge, that Allah might bring into His Mercy whom He will, if they (the believers and the disbelievers) should have been apart, We verily had punished those of them who disbelieved, with painful torment.",48:25,"['allah islamic monotheism ),', 'allah might bring', 'whose account', 'sin would', 'sacrificial animals', 'sacred mosque', 'painful torment', 'may kill', 'believing women', 'believing men', 'without', 'verily', 'sacrifice', 'reaching', 'punished', 'place', 'ones', 'oneness', 'mercy', 'masjid', 'makkah', 'knowledge', 'know', 'hindered', 'haram', 'disbelievers', 'disbelieved', 'disbelieved', 'detained', 'committed', 'believers', 'apart', 'al', 'al']"
Surah Al-Fath,"When those who disbelieve had put in their hearts pride and haughtiness the pride and haughtiness of the time of ignorance, then Allah sent down His Sakinah (calmness and tranquillity) upon His Messenger ( ) and upon the believers, and made them stick to the word of piety (i.e. none has the right to be worshipped but Allah), and they were well entitled to it and worthy of it. And Allah is the All-Knower of everything.",48:26,"['well entitled', 'allah sent', 'allah ),', 'hearts pride', 'allah', 'pride', 'worthy', 'worshipped', 'word', 'upon', 'upon', 'tranquillity', 'time', 'stick', 'sakinah', 'right', 'put', 'piety', 'none', 'messenger', 'made', 'knower', 'ignorance', 'haughtiness', 'haughtiness', 'everything', 'e', 'disbelieve', 'calmness', 'believers']"
Surah Al-Fath,"Indeed Allah shall fulfil the true vision which He showed to His Messenger () [i.e. the Prophet  saw a dream that he has entered Makkah along with his companions, having their (head) hair shaved and cut short] in very truth. Certainly, you shall enter Al-Masjid-al-Haram; if Allah wills, secure, (some) having your heads shaved, and (some) having your head hair cut short, having no fear. He knew what you knew not, and He granted besides that a near victory.",48:27,"['indeed allah shall fulfil', 'head hair cut short', 'entered makkah along', 'shall enter al', 'cut short', 'hair shaved', 'allah wills', 'true vision', 'prophet saw', 'near victory', 'messenger ()', 'heads shaved', 'granted besides', 'head', 'al', 'truth', 'showed', 'secure', 'masjid', 'knew', 'knew', 'haram', 'fear', 'e', 'dream', 'companions', 'certainly']"
Surah Al-Fath,"He it is Who has sent His Messenger (Muhammad ) with guidance and the religion of truth (Islam), that He may make it (Islam) superior over all religions. And All-Sufficient is Allah as a Witness.",48:28,"['may make', 'islam ),', 'islam', 'witness', 'truth', 'superior', 'sufficient', 'sent', 'religions', 'religion', 'muhammad', 'messenger', 'guidance', 'allah']"
Surah Al-Fath,"Muhammad () is the Messenger of Allah, and those who are with him are severe against disbelievers, and merciful among themselves. You see them bowing and falling down prostrate (in prayer), seeking Bounty from Allah and (His) Good Pleasure. The mark of them (i.e. of their Faith) is on their faces (foreheads) from the traces of (their) prostration (during prayers). This is their description in the Taurat (Torah). But their description in the Injeel (Gospel) is like a (sown) seed which sends forth its shoot, then makes it strong, it then becomes thick, and it stands straight on its stem, delighting the sowers that He may enrage the disbelievers with them. Allah has promised those among them who believe (i.e. all those who follow Islamic Monotheism, the religion of Prophet Muhammad  till the Day of Resurrection) and do righteous good deeds, forgiveness and a mighty reward (i.e. Paradise).",48:29,"['prayer ), seeking bounty', 'follow islamic monotheism', 'righteous good deeds', 'prophet muhammad till', 'muhammad ()', 'good pleasure', 'torah ).', 'stands straight', 'sends forth', 'prayers ).', 'paradise ).', 'mighty reward', 'may enrage', 'becomes thick', 'merciful among', 'among', 'traces', 'taurat', 'strong', 'stem', 'sown', 'sowers', 'shoot', 'severe', 'seed', 'see', 'resurrection', 'religion', 'prostration', 'prostrate', 'promised', 'messenger', 'mark', 'makes', 'like', 'injeel', 'gospel', 'forgiveness', 'foreheads', 'falling', 'faith', 'faces', 'e', 'e', 'e', 'disbelievers', 'disbelievers', 'description', 'description', 'delighting', 'day', 'bowing', 'believe', 'allah', 'allah', 'allah']"
Surah Al-Hujuraat,"O you who believe! Do not put (yourselves) forward before Allah and His Messenger (), and fear Allah. Verily! Allah is All-Hearing, All-Knowing.",49:1,"['messenger (),', 'fear allah', 'allah', 'allah', 'verily', 'put', 'knowing', 'hearing', 'forward', 'believe']"
Surah Al-Hujuraat,"O you who believe! Raise not your voices above the voice of the Prophet (), nor speak aloud to him in talk as you speak aloud to one another, lest your deeds may be rendered fruitless while you perceive not.",49:2,"['speak aloud', 'speak aloud', 'rendered fruitless', 'prophet (),', 'one another', 'deeds may', 'voices', 'voice', 'talk', 'raise', 'perceive', 'lest', 'believe']"
Surah Al-Hujuraat,"Verily! Those who lower their voices in the presence of Allah’s Messenger (), they are the ones whose hearts Allah has tested for piety. For them is forgiveness and a great reward.",49:3,"['ones whose hearts allah', 'allah ’', 'messenger (),', 'great reward', 'voices', 'verily', 'tested', 'presence', 'piety', 'lower', 'forgiveness']"
Surah Al-Hujuraat,"Verily! Those who call you from behind the dwellings, most of them have no sense.",49:4,"['verily', 'sense', 'dwellings', 'call', 'behind']"
Surah Al-Hujuraat,"And if they had patience till you could come out to them, it would have been better for them. And Allah is Oft-Forgiving, Most Merciful.",49:5,"['patience till', 'could come', 'would', 'oft', 'merciful', 'forgiving', 'better', 'allah']"
Surah Al-Hujuraat,"O you who believe! If a rebellious evil person comes to you with a news, verify it, lest you harm people in ignorance, and afterwards you become regretful to what you have done.",49:6,"['rebellious evil person comes', 'harm people', 'become regretful', 'verify', 'news', 'lest', 'ignorance', 'done', 'believe', 'afterwards']"
Surah Al-Hujuraat,"And know that, among you there is the Messenger of Allah (). If he were to obey you (i.e. follow your opinions and desires) in much of the matter, you would surely be in trouble, but Allah has endeared the Faith to you and has beautified it in your hearts, and has made disbelief, wickedness and disobedience (to Allah and His Messenger ) hateful to you. These! They are the rightly guided ones,",49:7,"['rightly guided ones', 'would surely', 'made disbelief', 'allah ().', 'allah', 'allah', 'wickedness', 'trouble', 'opinions', 'obey', 'much', 'messenger', 'messenger', 'matter', 'know', 'hearts', 'hateful', 'follow', 'faith', 'endeared', 'e', 'disobedience', 'desires', 'beautified', 'among']"
Surah Al-Hujuraat,"(This is) a Grace from Allah and His Favour. And Allah is All-Knowing, All-Wise.",49:8,"['wise', 'knowing', 'grace', 'favour', 'allah', 'allah']"
Surah Al-Hujuraat,"And if two parties or groups among the believers fall to fighting, then make peace between them both, but if one of them rebels against the other, then fight you (all) against the one that which rebels till it complies with the Command of Allah; then if it complies, then make reconciliation between them justly, and be equitable. Verily! Allah loves those who are equitable.",49:9,"['two parties', 'make reconciliation', 'make peace', 'groups among', 'believers fall', 'rebels till', 'allah loves', 'rebels', 'allah', 'verily', 'one', 'one', 'justly', 'fighting', 'fight', 'equitable', 'equitable', 'complies', 'complies', 'command']"
Surah Al-Hujuraat,"The believers are nothing else than brothers (in Islamic religion). So make reconciliation between your brothers, and fear Allah, that you may receive mercy.",49:10,"['may receive mercy', 'islamic religion ).', 'nothing else', 'make reconciliation', 'fear allah', 'brothers', 'brothers', 'believers']"
Surah Al-Hujuraat,"O you who believe! Let not a group scoff at another group, it may be that the latter are better than the former; nor let (some) women scoff at other women, it may be that the latter are better than the former, nor defame one another, nor insult one another by nicknames. How bad is it, to insult one’s brother after having Faith [i.e. to call your Muslim brother (a faithful believer) as: “O sinner”, or “O wicked”, etc.]. And whosoever does not repent, then such are indeed Zalimun (wrong-doers, etc.).",49:11,"['wicked ”, etc .].', 'insult one ’', 'insult one another', 'defame one another', 'sinner ”,', 'another group', 'indeed zalimun', 'group scoff', 'faithful believer', 'women scoff', 'muslim brother', 'etc', 'women', 'brother', '“', '“', 'wrong', 'whosoever', 'repent', 'nicknames', 'may', 'may', 'let', 'let', 'latter', 'latter', 'former', 'former', 'faith', 'e', 'doers', 'call', 'better', 'better', 'believe', 'bad', ').']"
Surah Al-Hujuraat,"O you who believe! Avoid much suspicions, indeed some suspicions are sins. And spy not, neither backbite one another. Would one of you like to eat the flesh of his dead brother? You would hate it (so hate backbiting) . And fear Allah. Verily, Allah is the One Who accepts repentance, Most Merciful.",49:12,"['neither backbite one another', 'avoid much suspicions', 'would one', 'would hate', 'hate backbiting', 'dead brother', 'accepts repentance', 'fear allah', 'one', 'suspicions', 'allah', 'verily', 'spy', 'sins', 'merciful', 'like', 'indeed', 'flesh', 'eat', 'believe']"
Surah Al-Hujuraat,"O mankind! We have created you from a male and a female, and made you into nations and tribes, that you may know one another. Verily, the most honourable of you with Allah is that (believer) who has At-Taqwa [i.e. one of the Muttaqun (pious – see V.2:2)]. Verily, Allah is All-Knowing, All-Aware.",49:13,"['pious – see v', 'may know one another', '2 )].', 'one', '2', 'verily', 'verily', 'tribes', 'taqwa', 'nations', 'muttaqun', 'mankind', 'male', 'made', 'knowing', 'honourable', 'female', 'e', 'created', 'believer', 'aware', 'allah', 'allah']"
Surah Al-Hujuraat,"The bedouins say: “We believe.” Say: “You believe not but you only say, ‘We have surrendered (in Islam),’ for Faith has not yet entered your hearts. But if you obey Allah and His Messenger (), He will not decrease anything in reward for your deeds. Verily, Allah is Oft-Forgiving, Most Merciful.”",49:14,"['believe .” say', 'merciful .”', 'yet entered', 'messenger (),', 'islam ),’', 'decrease anything', 'bedouins say', 'obey allah', 'say', 'believe', 'allah', '“', '“', '‘', 'verily', 'surrendered', 'reward', 'oft', 'hearts', 'forgiving', 'faith', 'deeds']"
Surah Al-Hujuraat,"Only those are the believers who have believed in Allah and His Messenger, and afterward doubt not but strive with their wealth and their lives for the Cause of Allah. Those! They are the truthful.",49:15,"['afterward doubt', 'wealth', 'truthful', 'strive', 'messenger', 'lives', 'cause', 'believers', 'believed', 'allah', 'allah']"
Surah Al-Hujuraat,"Say: “Will you inform Allah about your religion? While Allah knows all that is in the heavens and all that is in the earth, and Allah is All-Aware of everything.",49:16,"['inform allah', 'allah knows', 'allah', '“', 'say', 'religion', 'heavens', 'everything', 'earth', 'aware']"
Surah Al-Hujuraat,"They regard as favour upon you (O Muhammad ) that they have embraced Islam. Say: “Count not your Islam as a favour upon me. Nay, but Allah has conferred a favour upon you, that He has guided you to the Faith, if you indeed are true.",49:17,"['“ count', 'favour upon', 'favour upon', 'favour upon', 'embraced islam', 'islam', 'true', 'say', 'regard', 'nay', 'muhammad', 'indeed', 'guided', 'faith', 'conferred', 'allah']"
Surah Al-Hujuraat,"Verily, Allah knows the unseen of the heavens and the earth. And Allah is the All-Seer of what you do.",49:18,"['allah knows', 'allah', 'verily', 'unseen', 'seer', 'heavens', 'earth']"
Surah Qaf,"Qaf. [These letters (Qaf, etc.) are one of the miracles of the Qur’an, and none but Allah (Alone) knows their meanings]. By the Glorious Qur’an.",50:1,"['glorious qur ’', 'qur ’', 'meanings ].', 'etc .)', 'qaf', 'qaf', 'one', 'none', 'miracles', 'letters', 'knows', 'alone', 'allah']"
Surah Qaf,"Nay, they wonder that there has come to them a warner (Muhammad ) from among themselves. So the disbelievers say: “This is a strange thing!",50:2,"['strange thing', 'disbelievers say', '“', 'wonder', 'warner', 'nay', 'muhammad', 'come', 'among']"
Surah Qaf,“When we are dead and have become dust (shall we be resurrected?) That is a far return.”,50:3,"['far return .”', 'resurrected ?)', 'become dust', '“', 'shall', 'dead']"
Surah Qaf,"We know that which the earth takes of them (their dead bodies), and with Us is a Book preserved (i.e. the Book of Decrees).",50:4,"['dead bodies ),', 'earth takes', 'decrees ).', 'book preserved', 'book', 'us', 'know', 'e']"
Surah Qaf,"Nay, but they have denied the truth (this Qur’an) when it has come to them, so they are in a confused state (can not differentiate between right and wrong).",50:5,"['wrong ).', 'qur ’', 'confused state', 'truth', 'right', 'nay', 'differentiate', 'denied', 'come']"
Surah Qaf,"Have they not looked at the heaven above them, how We have made it and adorned it, and there are no rifts in it?",50:6,"['rifts', 'made', 'looked', 'heaven', 'adorned']"
Surah Qaf,"And the earth! We have spread it out, and set thereon mountains standing firm, and have produced therein every kind of lovely growth (plants).",50:7,"['set thereon mountains standing firm', 'produced therein every kind', 'plants ).', 'lovely growth', 'spread', 'earth']"
Surah Qaf,"An insight and a Reminder for every slave turning to Allah (i.e. the one who believes in Allah and performs deeds of His obedience, and always begs His pardon).",50:8,"['every slave turning', 'performs deeds', 'pardon ).', 'always begs', 'reminder', 'one', 'obedience', 'insight', 'e', 'believes', 'allah', 'allah']"
Surah Qaf,"And We send down blessed water (rain) from the sky, then We produce therewith gardens and grain (every kind of harvests) that are reaped.",50:9,"['produce therewith gardens', 'every kind', 'blessed water', 'sky', 'send', 'reaped', 'rain', 'harvests', 'grain']"
Surah Qaf,"And tall date-palms, with ranged clusters;",50:10,"['tall date', 'ranged clusters', 'palms']"
Surah Qaf,A provision for (Allah’s) slaves. And We give life therewith to a dead land. Thus will be the resurrection (of the dead).,50:11,"['give life therewith', 'dead land', 'dead ).', 'allah ’', 'thus', 'slaves', 'resurrection', 'provision']"
Surah Qaf,"Denied before them (i.e. these pagans of Makkah who denied you, O Muhammad ) the people of Nuh (Noah), and the dwellers of Rass, and the Thamud,",50:12,"['noah ),', 'thamud', 'rass', 'people', 'pagans', 'nuh', 'muhammad', 'makkah', 'e', 'dwellers', 'denied', 'denied']"
Surah Qaf,"And ‘Ad, and Fir’aun (Pharaoh), and the brethren of Lout (Lot),",50:13,"['fir ’ aun', '‘ ad', 'pharaoh ),', 'lot ),', 'lout', 'brethren']"
